date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2025-04-14,DLR,99.633,100.43,88.012764,88.012764,0.0,5.0598,11.0,146.31,208.342,33.7972,3.9707,4.5886,32.825289,157.5548,15.755482,0.549524,103.768246,103.768246,4.135246000000009,41.35246000000009,True
2025-04-15,DLR,100.31,101.112,88.198255,88.198255,0.0,5.0306,11.0,146.23,208.342,33.2374,3.9329,4.5859,31.987791,153.535,15.3535,0.544164,103.551755,103.551755,3.2417549999999977,32.41754999999998,True
2025-04-16,DLR,100.127,100.934,88.458441,88.458441,0.0,4.9684,11.0,148.18,208.342,31.7618,3.865,4.5832,31.02939,148.9349,14.893487,0.539142,103.351928,103.351928,3.224927999999992,32.249279999999914,True
2025-04-17,DLR,100.701,101.529,88.497734,88.497734,0.0,4.9589,11.0,150.75,208.342,31.7595,3.8876,4.5804,32.45084,155.7575,15.575754,0.549594,104.073488,104.073488,3.372488000000004,33.72488000000004,True
2025-04-18,DLR,100.701,101.529,88.497734,88.497734,0.0,4.9589,11.0,150.75,208.342,31.7595,3.8876,4.5804,32.45084,155.7575,15.575754,0.549594,104.073488,104.073488,3.372488000000004,33.72488000000004,True
2025-04-21,DLR,99.769,100.602,88.392553,88.392553,0.0,4.9842,11.0,146.34,208.342,33.2109,3.9001,4.5695,31.838544,152.8186,15.281864,0.542776,103.674417,103.674417,3.905417,39.05417,True
2025-04-22,DLR,100.219,101.057,88.419662,88.419662,0.0,4.983,11.0,148.89,208.342,32.2591,3.916,4.5667,32.0508,153.8374,15.383743,0.546043,103.803405,103.803405,3.584405000000004,35.84405000000004,True
2025-04-23,DLR,101.096,101.939,88.50353,88.50353,0.0,4.9682,11.0,151.59,208.342,31.9133,3.9362,4.564,33.107823,158.9109,15.891093,0.554346,104.394623,104.394623,3.298622999999992,32.98622999999992,True
2025-04-24,DLR,101.096,101.939,88.50353,88.50353,0.0,4.9682,11.0,151.59,208.342,31.9133,3.9362,4.564,33.107823,158.9109,15.891093,0.554346,104.394623,104.394623,3.298622999999992,32.98622999999992,True
2025-04-25,DLR,104.492,105.356,89.03403,89.03403,0.0,4.8475,11.0,159.88,208.342,31.7673,3.8374,4.5585,37.211022,178.6055,17.860546,0.580697,106.894576,106.894576,2.4025759999999963,24.025759999999963,False
2025-04-28,DLR,104.184,105.053,89.268205,89.268205,0.0,4.8076,11.0,160.35,208.342,31.7051,3.7729,4.5503,37.194465,178.526,17.852599,0.580049,107.120804,107.120804,2.936803999999995,29.36803999999995,False
2025-04-29,DLR,104.098,104.973,89.424269,89.424269,0.0,4.7794,11.0,159.87,208.342,31.0054,3.7234,4.5476,35.790953,171.7894,17.178942,0.572518,106.603211,106.603211,2.5052109999999885,25.052109999999885,False
2025-04-30,DLR,104.098,104.973,89.424269,89.424269,0.0,4.7794,11.0,159.87,208.342,31.0054,3.7234,4.5476,35.790953,171.7894,17.178942,0.572518,106.603211,106.603211,2.5052109999999885,25.052109999999885,False
