date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2024-10-07,MTH,111.158,111.882,91.436772,91.436772,0.0,4.8043,9.0,97.615,115.8749,36.2349,3.7798,3.603,25.040802,216.1021,21.610212,0.614723,113.046984,113.046984,1.888984000000008,18.88984000000008,False
2024-10-08,MTH,111.624,112.353,91.40705,91.40705,0.0,4.8014,9.0,98.095,115.8749,37.7734,3.7936,3.6003,26.404815,227.8736,22.787355,0.623716,114.194405,114.194405,2.570405000000008,25.70405000000008,False
2024-10-09,MTH,111.069,111.803,91.332472,91.332472,0.0,4.832,9.0,97.41,115.8749,37.1123,3.832,3.5975,25.569357,220.6635,22.066355,0.618003,113.398827,113.398827,2.3298269999999945,23.298269999999945,False
2024-10-10,MTH,109.96,110.699,91.348932,91.348932,0.0,4.8129,9.0,96.04,115.8749,36.7443,3.8407,3.5948,24.491417,211.3609,21.136093,0.608872,112.485025,112.485025,2.5250250000000136,25.250250000000136,False
2024-10-11,MTH,109.96,110.699,91.348932,91.348932,0.0,4.8129,9.0,96.04,115.8749,36.7443,3.8407,3.5948,24.491417,211.3609,21.136093,0.608872,112.485025,112.485025,2.5250250000000136,25.250250000000136,False
2024-10-14,MTH,111.364,112.123,91.456236,91.456236,0.0,4.7933,9.0,98.37,115.8749,36.7454,3.8205,3.5838,25.805842,222.7044,22.270442,0.620956,113.726678,113.726678,2.3626780000000025,23.626780000000025,False
2024-10-15,MTH,111.654,112.417,91.560041,91.560041,0.0,4.77,9.0,98.91,115.8749,36.6336,3.7998,3.5811,26.010308,224.469,22.446896,0.622924,114.006937,114.006937,2.352936999999997,23.52936999999997,False
2024-10-16,MTH,112.546,113.314,91.616901,91.616901,0.0,4.7603,9.0,101.64,115.8749,35.3887,3.7847,3.5784,26.74862,230.8406,23.084059,0.632724,114.70096,114.70096,2.1549599999999884,21.549599999999884,False
2024-10-17,MTH,112.546,113.314,91.616901,91.616901,0.0,4.7603,9.0,101.64,115.8749,35.3887,3.7847,3.5784,26.74862,230.8406,23.084059,0.632724,114.70096,114.70096,2.1549599999999884,21.549599999999884,False
2024-10-18,MTH,113.35,114.137,91.501717,91.501717,0.0,4.7954,9.0,102.0,115.8749,34.5287,3.8207,3.5729,26.376805,227.6318,22.763182,0.632296,114.264899,114.264899,0.9148990000000056,9.148990000000056,False
2024-10-21,MTH,110.85,111.642,91.264589,91.264589,0.0,4.8807,9.0,96.82,115.8749,34.3584,3.8913,3.5647,23.208802,200.292,20.029196,0.60276,111.293785,111.293785,0.4437850000000054,4.437850000000054,False
